"","Point_code","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","depth","Year.x","Accuracy.m.","UTM.Zone","UTM.Easting","UTM.Northing","Site","Year.y","TOT","T_DR","TSG","Tt","Sf","Hw","TMA"
"11","BB03_C",0.0380182899534702,0.0532734505832195,0.0293964128941298,0.00905712600797415,-0.61520779132843,-0.709384202957153,0.709384202957153,-0.793397188186646,0.337409943342209,-0.252042055130005,-0.528487861156464,-0.736501753330231,2023,0.30122748,"17 R",584620,2848930,"BB03",2023,"100","100","100","0","100","0",0
"12","BB03_E",0.0398624204099178,0.0563659705221653,0.0316303558647633,0.00871033687144518,-0.641348898410797,-0.73230391740799,0.73230391740799,-0.85224187374115,0.315364062786102,-0.267344415187836,-0.52198189496994,-0.739538848400116,2023,0.3005204,"17 R",584617,2848914,"BB03",2023,"100","100","100","30","70","0",0
"13","BB03_L",0.0380182899534702,0.0532734505832195,0.0293964128941298,0.00905712600797415,-0.61520779132843,-0.709384202957153,0.709384202957153,-0.793397188186646,0.337409943342209,-0.252042055130005,-0.528487861156464,-0.736501753330231,2023,0.30122748,"17 R",584628,2848929,"BB03",2023,"100","100","100","0","100","0",0
"14","BB03_R",0.0417073145508766,0.0572674162685871,0.0317477434873581,0.00917103234678507,-0.639491736888885,-0.723923921585083,0.723923921585083,-0.827616810798645,0.341089248657227,-0.225271433591843,-0.50864052772522,-0.732816159725189,2023,0.30177295,"17 R",584604,2848929,"BB03",2023,"100","100","100","50","50","0",0
"15","BB03_S",0.0397353768348694,0.0537906475365162,0.0277501381933689,0.00859767012298107,-0.644232213497162,-0.724382042884827,0.724382042884827,-0.790383338928223,0.369699656963348,-0.15855698287487,-0.479546010494232,-0.712475299835205,2023,0.29930505,"17 R",584624,2848945,"BB03",2023,"100","100","100","1","99","0",0
"34","BB10_C",0.0537973344326019,0.0669649913907051,0.0365342870354652,0.0106849484145641,-0.668592751026154,-0.724791824817657,0.724791824817657,-0.821148574352264,0.403199166059494,-0.0908773392438889,-0.447915405035019,-1.35313904285431,2023,0.762168,"17 R",582686,2857838,"BB10",2023,"94.5","94.5","10","0","10","0",84.5
"35","BB10_CE",0.0528652742505074,0.0682617053389549,0.0371254645287991,0.0106836492195725,-0.663766145706177,-0.729340672492981,0.729340672492981,-0.829605877399445,0.362129539251328,-0.122088804841042,-0.439677000045776,-1.35197842121124,2023,0.76485294,"17 R",582682,2857844,"BB10",2023,"95.5","95.5","21","0","18","3",74.5
"36","BB10_CL",0.0537973344326019,0.0669649913907051,0.0365342870354652,0.0106849484145641,-0.668592751026154,-0.724791824817657,0.724791824817657,-0.821148574352264,0.403199166059494,-0.0908773392438889,-0.447915405035019,-1.35313904285431,2023,0.8772685,"17 R",582682,2857832,"BB10",2023,"100","100","0","0","0","0",100
"37","BB10_CS",0.0544668883085251,0.0668388903141022,0.0372488684952259,0.0106877153739333,-0.671927571296692,-0.724282622337341,0.724282622337341,-0.831134080886841,0.417886823415756,-0.0950818434357643,-0.463002592325211,-1.28814399242401,2023,0.7998125,"17 R",582690,2857832,"BB10",2023,"26.2","26.2","4.5","0","2","2.5",21.7
"38","BB10_E",0.0544510036706924,0.0691650956869125,0.0366464145481586,0.0106795830652118,-0.672056317329407,-0.732491075992584,0.732491075992584,-0.823020100593567,0.375511258840561,-0.0814219191670418,-0.417677640914917,-1.43707370758057,2023,0.7856844,"17 R",582676,2857851,"BB10",2023,"70.9","70.9","11.7","0","7.5","4.2",59.2
