"","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","depth","TOT","TSG","TMA","class"
"1",0.03801829,0.053273451,0.029396413,0.009057126,-0.615207791,-0.709384203,0.709384203,-0.793397188,0.337409943,-0.252042055,-0.528487861,-0.736501753,100,100,0,"SG High"
"2",0.03986242,0.056365971,0.031630356,0.008710337,-0.641348898,-0.732303917,0.732303917,-0.852241874,0.315364063,-0.267344415,-0.521981895,-0.739538848,100,100,0,"SG High"
"3",0.03801829,0.053273451,0.029396413,0.009057126,-0.615207791,-0.709384203,0.709384203,-0.793397188,0.337409943,-0.252042055,-0.528487861,-0.736501753,100,100,0,"SG High"
"4",0.041707315,0.057267416,0.031747743,0.009171032,-0.639491737,-0.723923922,0.723923922,-0.827616811,0.341089249,-0.225271434,-0.508640528,-0.73281616,100,100,0,"SG High"
"5",0.039735377,0.053790648,0.027750138,0.00859767,-0.644232213,-0.724382043,0.724382043,-0.790383339,0.369699657,-0.158556983,-0.47954601,-0.7124753,100,100,0,"SG High"
"6",0.053797334,0.066964991,0.036534287,0.010684948,-0.668592751,-0.724791825,0.724791825,-0.821148574,0.403199166,-0.090877339,-0.447915405,-1.353139043,94.5,10,84.5,"MA High"
"7",0.052865274,0.068261705,0.037125465,0.010683649,-0.663766146,-0.729340672,0.729340672,-0.829605877,0.362129539,-0.122088805,-0.439677,-1.351978421,95.5,21,74.5,"MA High"
"8",0.053797334,0.066964991,0.036534287,0.010684948,-0.668592751,-0.724791825,0.724791825,-0.821148574,0.403199166,-0.090877339,-0.447915405,-1.353139043,100,0,100,"MA High"
"9",0.054466888,0.06683889,0.037248868,0.010687715,-0.671927571,-0.724282622,0.724282622,-0.831134081,0.417886823,-0.095081843,-0.463002592,-1.288143992,26.2,4.5,21.7,"MA Low"
"10",0.054451004,0.069165096,0.036646415,0.010679583,-0.672056317,-0.732491076,0.732491076,-0.823020101,0.375511259,-0.081421919,-0.417677641,-1.437073708,70.9,11.7,59.2,"MA High"
"11",0.052731425,0.06735234,0.03546543,0.010567507,-0.666107893,-0.728759587,0.728759587,-0.811307907,0.376091897,-0.085484184,-0.421909928,-1.44924438,86.2,8.4,77.8,"MA High"
"12",0.054196697,0.069302186,0.037364367,0.010685117,-0.670628309,-0.73282969,0.73282969,-0.83286798,0.368394166,-0.102703765,-0.428921342,-1.285001993,56.38,56,0.38,"SG High"
"13",0.054336432,0.06632106,0.037131861,0.010689015,-0.671235979,-0.722399592,0.722399592,-0.829434216,0.425056189,-0.09478794,-0.468635857,-1.291612387,97.5,11.5,86,"MA High"
"14",0.061041493,0.076866314,0.037164401,0.006416924,-0.809751689,-0.845901191,0.845901191,-1.058279276,0.359898508,0.020821471,-0.321672648,-1.613865376,100,100,0,"SG High"
"15",0.059047095,0.07595636,0.037994552,0.005719865,-0.823370934,-0.859938085,0.859938085,-1.107461452,0.341329187,-0.031298742,-0.348638356,-1.610368967,100,99.25,0.75,"SG High"
"16",0.061571177,0.07712514,0.038706824,0.006532856,-0.808150709,-0.843819916,0.843819916,-1.066783667,0.364403397,-0.005331645,-0.346026987,-1.532783508,100,100,0,"SG High"
"17",0.060777064,0.076477639,0.037758254,0.006417237,-0.808994591,-0.84517169,0.84517169,-1.064199209,0.361793011,0.002916307,-0.337546766,-1.550207376,100,98.75,1.25,"SG High"
"18",0.062369876,0.075699136,0.03953813,0.006300894,-0.816489816,-0.846319735,0.846319735,-1.08762908,0.400249064,-0.010624541,-0.379172683,-1.625892639,100,97.25,2.75,"SG High"
"19",0.057449944,0.06606105,0.02759251,0.005808997,-0.816342235,-0.838347197,0.838347197,-0.978257298,0.485607415,0.214989126,-0.270183742,-5.650531769,100,100,0,"SG High"
"20",0.056125138,0.069443516,0.028307291,0.005461697,-0.82263428,-0.854170442,0.854170442,-1.014788866,0.400851935,0.169776574,-0.237680614,-5.591427803,100,100,0,"SG High"
"21",0.057051886,0.068011783,0.027355403,0.005461103,-0.825281024,-0.851343691,0.851343691,-1.000760078,0.442856014,0.215420425,-0.235199898,-5.705308437,100,98,2,"SG High"
"22",0.056251399,0.067619748,0.029611178,0.00511097,-0.83341682,-0.859454989,0.859454989,-1.058411241,0.435836971,0.133493274,-0.294987202,-4.720029354,100,98,2,"SG High"
"23",0.058624785,0.070675813,0.030610252,0.005029287,-0.841980636,-0.867134809,0.867134809,-1.076653838,0.422788292,0.146428064,-0.273400575,-2.994245768,100,100,0,"SG High"
"24",0.061146393,0.074700132,0.031322718,0.004216281,-0.870988131,-0.893145621,0.893145621,-1.144085526,0.396779537,0.168854892,-0.233704209,-2.759432793,100,100,0,"SG High"
"25",0.062873028,0.073533602,0.030492159,0.005261772,-0.845548153,-0.866444647,0.866444647,-1.058501244,0.44398725,0.219695091,-0.231126934,-3.011910915,99.75,99.75,0,"SG High"
"26",0.05849069,0.070804931,0.032984681,0.00468079,-0.851806879,-0.875982106,0.875982106,-1.127181888,0.418253064,0.080216751,-0.322494507,-2.974273443,100,99.5,0.5,"SG High"
"27",0.057296656,0.070935406,0.032866403,0.005726209,-0.818281531,-0.850610793,0.850610793,-1.054872632,0.395363033,0.06266503,-0.318205059,-3.135711193,100,100,0,"SG High"
"28",0.053228412,0.06589742,0.03169683,0.005620905,-0.808972955,-0.842812181,0.842812181,-1.048131347,0.412336409,0.020017598,-0.367179126,-2.852084875,100,100,0,"SG High"
"29",0.057877656,0.070704125,0.036799934,0.006085125,-0.809729159,-0.841511011,0.841511011,-1.074318528,0.409469455,-0.023968646,-0.398519337,-1.857595682,100,100,0,"SG High"
"30",0.057747558,0.073431857,0.038224146,0.006898073,-0.786588132,-0.828256488,0.828256488,-1.041374087,0.360654265,-0.058707774,-0.386545658,-2.616003275,100,100,0,"SG High"
"31",0.055752274,0.067846172,0.031696551,0.006433628,-0.793084025,-0.826773107,0.826773107,-0.993816018,0.422812104,0.066351019,-0.338029444,-3.080581665,100,100,0,"SG High"
