"","Point_code","blue","green","red","vnir","NDAVI","ind24","NDWI","WAVI","DII_blue_green","DII_blue_red","DII_green_red","Year","Accuracy.m.","UTM.Zone","UTM.Easting","UTM.Northing","TOT","T_DR","TSG","Tt","Sf","Hw","TMA"
"34","BB10_C",0.053797334,0.066964991,0.036534287,0.010684948,-0.668592751,-0.724791825,0.724791825,-0.821148574,0.403199166,-0.090877339,-0.447915405,2023,0.762168,"17 R",582686,2857838,"94.5","94.5","10","0","10","0",84.5
"35","BB10_CE",0.052865274,0.068261705,0.037125465,0.010683649,-0.663766146,-0.729340672,0.729340672,-0.829605877,0.362129539,-0.122088805,-0.439677,2023,0.76485294,"17 R",582682,2857844,"95.5","95.5","21","0","18","3",74.5
"36","BB10_CL",0.053797334,0.066964991,0.036534287,0.010684948,-0.668592751,-0.724791825,0.724791825,-0.821148574,0.403199166,-0.090877339,-0.447915405,2023,0.8772685,"17 R",582682,2857832,"100","100","0","0","0","0",100
"37","BB10_CS",0.054466888,0.06683889,0.037248868,0.010687715,-0.671927571,-0.724282622,0.724282622,-0.831134081,0.417886823,-0.095081843,-0.463002592,2023,0.7998125,"17 R",582690,2857832,"26.2","26.2","4.5","0","2","2.5",21.7
"38","BB10_E",0.054451004,0.069165096,0.036646415,0.010679583,-0.672056317,-0.732491076,0.732491076,-0.823020101,0.375511259,-0.081421919,-0.417677641,2023,0.7856844,"17 R",582676,2857851,"70.9","70.9","11.7","0","7.5","4.2",59.2
"39","BB10_L",0.052731425,0.06735234,0.03546543,0.010567507,-0.666107893,-0.728759587,0.728759587,-0.811307907,0.376091897,-0.085484184,-0.421909928,2023,0.7516648,"17 R",582678,2857826,"86.2","86.2","8.4","0","3.2","5.2",77.8
"40","BB10_R",0.054196697,0.069302186,0.037364367,0.010685117,-0.670628309,-0.73282969,0.73282969,-0.83286798,0.368394166,-0.102703765,-0.428921342,2023,0.7427651,"17 R",582694,2857852,"56.38","56.38","56","0","28","28",0.38
"41","BB10_S",0.054336432,0.06632106,0.037131861,0.010689015,-0.671235979,-0.722399592,0.722399592,-0.829434216,0.425056189,-0.09478794,-0.468635857,2023,0.7516648,"17 R",582694,2857825,"97.5","97.5","11.5","0","10","1.5",86
"42","BB13_C",0.061041493,0.076866314,0.037164401,0.006416924,-0.809751689,-0.845901191,0.845901191,-1.058279276,0.359898508,0.020821471,-0.321672648,2023,0.5181729,"17 R",583722,2836445,"100","100","100","100","0","0",0
"43","BB13_E",0.059047095,0.07595636,0.037994552,0.005719865,-0.823370934,-0.859938085,0.859938085,-1.107461452,0.341329187,-0.031298742,-0.348638356,2023,0.5856304,"17 R",583709,2836455,"100","100","99.25","99.25","0","0",0.75
