"","Station","Year","GRID","TOT","easting","northing"
"1","BH06",2009,1,2,586847.30235659,2864774.61443
"2","BH06",2009,2,5,586819.451187084,2864755.11283116
"3","BH06",2009,3,0,586776.036128737,2864724.71328004
"4","BH06",2010,1,4,586847.30235659,2864774.61443
"5","BH06",2010,2,2,586819.451187084,2864755.11283116
"6","BH06",2010,3,5,586776.036128737,2864724.71328004
"7","BH06",2011,1,2,586847.30235659,2864774.61443
"8","BH06",2011,2,5,586819.451187084,2864755.11283116
"9","BH06",2011,3,4,586776.036128737,2864724.71328004
"10","BH06",2012,1,2,586847.30235659,2864774.61443
"11","BH06",2012,2,3,586819.451187084,2864755.11283116
"12","BH06",2012,3,4,586776.036128737,2864724.71328004
"13","BH06",2013,1,3,586847.30235659,2864774.61443
"14","BH06",2013,2,5,586819.451187084,2864755.11283116
"15","BH06",2013,3,4,586776.036128737,2864724.71328004
"16","BH06",2014,1,5,586847.30235659,2864774.61443
"17","BH06",2014,2,5,586819.451187084,2864755.11283116
"18","BH06",2014,3,4,586776.036128737,2864724.71328004
"19","BH06",2016,1,0.5,586847.30235659,2864774.61443
"20","BH06",2016,2,0.5,586819.451187084,2864755.11283116
"21","BH06",2016,3,1,586776.036128737,2864724.71328004
"22","BH06",2017,1,0.5,586847.30235659,2864774.61443
"23","BH06",2017,2,0.5,586819.451187084,2864755.11283116
"24","BH06",2017,3,1,586776.036128737,2864724.71328004
"25","BH06",2018,1,0.5,586847.30235659,2864774.61443
"26","BH06",2018,2,0,586819.451187084,2864755.11283116
"27","BH06",2018,3,1,586776.036128737,2864724.71328004
"28","BH06",2019,1,1,586847.30235659,2864774.61443
"29","BH06",2019,2,0.5,586819.451187084,2864755.11283116
"30","BH06",2019,3,0.5,586776.036128737,2864724.71328004
"31","BH06",2020,1,2,586847.30235659,2864774.61443
"32","BH06",2020,2,2,586819.451187084,2864755.11283116
"33","BH06",2020,3,4,586776.036128737,2864724.71328004
"34","BH06",2021,1,2,586847.30235659,2864774.61443
"35","BH06",2021,2,1,586819.451187084,2864755.11283116
"36","BH06",2021,3,2,586776.036128737,2864724.71328004
"37","BH06",2022,1,2,586847.30235659,2864774.61443
"38","BH06",2022,2,2,586819.451187084,2864755.11283116
"39","BH06",2022,3,1,586776.036128737,2864724.71328004
"40","BH06",2023,1,2,586847.30235659,2864774.61443
"41","BH06",2023,2,2,586819.451187084,2864755.11283116
"42","BH06",2023,3,2,586776.036128737,2864724.71328004
"43","BH10",2009,1,0,585431.742994597,2861588.68237078
