"","Station","Year","GRID","TOT","TDR","T_DR","TSG","Tt","Sf","Hw","Rm","HE","HD","HJ","TMA","TGA","TGO","BAT","CA","TCAL","HAL","PEN","UDO","ACE","AL","AS","RHI","TRO","TBR","SAR","SP","HC","easting","northing"
"1","BH06",2009,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411139.14772711,16990565.2251657
"2","BH06",2009,2,5,0,5,5,0,5,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411111.29655761,16990545.7235669
"3","BH06",2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411067.88149926,16990515.3240158
"4","BH06",2010,1,4,2,4,4,3,4,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411139.14772711,16990565.2251657
"5","BH06",2010,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411111.29655761,16990545.7235669
"6","BH06",2010,3,5,2,4,4,3,3,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411067.88149926,16990515.3240158
"7","BH06",2011,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411139.14772711,16990565.2251657
"8","BH06",2011,2,5,0.5,5,5,1,5,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0.1,"0",2411111.29655761,16990545.7235669
"9","BH06",2011,3,4,0.5,4,4,0.5,4,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0.1,"0",2411067.88149926,16990515.3240158
"10","BH06",2012,1,2,0,2,2,2,0,0.1,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411139.14772711,16990565.2251657
"11","BH06",2012,2,3,0,3,3,2,3,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411111.29655761,16990545.7235669
"12","BH06",2012,3,4,0,4,4,0,4,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411067.88149926,16990515.3240158
"13","BH06",2013,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411139.14772711,16990565.2251657
"14","BH06",2013,2,5,0,5,5,3,4,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411111.29655761,16990545.7235669
"15","BH06",2013,3,4,1,4,4,3,3,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411067.88149926,16990515.3240158
"16","BH06",2014,1,5,0,5,5,3,4,0,0,0,0,0,0.5,0.5,0,"0","0",0.5,"0","0","X","0",0,0,"0",0,0,"0",0,"0",2411139.14772711,16990565.2251657
"17","BH06",2014,2,5,0,5,5,2,4,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411111.29655761,16990545.7235669
"18","BH06",2014,3,4,0,4,4,2,3,0,0,0,0,0,0,0,0,"0","0",0,"0","0","0","0",0,0,"0",0,0,"0",0,"0",2411067.88149926,16990515.3240158
